Designator,Layer,Center-X(mm),Center-Y(mm),Rotation
U1,TopLayer,19.3024,17.272,180
R12,TopLayer,29.591,2.413,0
R11,TopLayer,33.02,2.54,180
R10,TopLayer,23.8744,10.033,90
R9,TopLayer,26.7954,10.16,270
R8,TopLayer,29.464,32.639,0
R7,TopLayer,32.893,32.639,180
R6,TopLayer,23.6204,23.876,270
R5,TopLayer,26.6684,23.749,90
R4,TopLayer,12.5714,10.795,90
R3,TopLayer,12.4444,3.683,90
R2,TopLayer,12.4444,23.495,270
R1,TopLayer,12.5714,31.115,270
C8,TopLayer,23.7474,5.588,270
C7,TopLayer,26.7954,5.604,270
C6,TopLayer,23.6204,28.337,90
C5,TopLayer,26.6684,28.321,90
C4,TopLayer,18.5404,7.493,270
C3,TopLayer,15.2384,7.366,90
C2,TopLayer,18.2864,27.94,90
C1,TopLayer,15.2384,27.559,270
